우편번호|우편일련번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리|산여부|지번본번|읍면동일련번호|지번부번
135962|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166060|개포로30길|Gaepo-ro 30-gil|0|15|0|1168010300102080012021276||LG전선|1168010300|개포동||0|1208|01|12
135965|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166052|개포로17길|Gaepo-ro 17-gil|0|9|5|1168010300102450004020434||LG토피아|1168010300|개포동||0|1245|01|4
135964|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166053|개포로20길|Gaepo-ro 20-gil|0|25|0|1168010300102310013020648||JHT개포빌딩|1168010300|개포동||0|1231|01|13
135964|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|88|0|1168010300102290001020566||KSD 노엘빌딩|1168010300|개포동||0|1229|02|1
135965|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|251|0|1168010300102590008020415||남강빌딩|1168010300|개포동||0|1259|01|8
135962|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|42|0|1168010300101940004020972||글로리빌딩|1168010300|개포동||0|1194|02|4
135960|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166171|논현로2길|Nonhyeon-ro 2-gil|0|59|0|1168010300101650009020986||금성빌라|1168010300|개포동||0|1165|01|9
135964|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|206|0|1168010300102380002020521||금화빌딩|1168010300|개포동||0|1238|01|2
135994|001|서울특별시|Seoul|강남구|Gangnam-gu|||116803122005|삼성로|Samseong-ro|0|36|0|1168010300101860002019918||국민은행 개포동지점|1168010300|개포동||0|186|01|2
135962|011|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|65|0|1168010300102720000020732||국악고등학교|1168010300|개포동||0|1272|01|0
135965|001|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|17|4|1168010300102540010020276||그랑시아|1168010300|개포동||0|1254|01|10
